Annotator	Annotation date	Name	GBE ID	TableID	Field	FieldID	QT_total_num	BIN_total_num	QT_index	BIN_index	coding_exclude	coding_QT	coding_binary_case	coding_binary_control	Participants	Stability	ValueType	Units	Strata	Sexed	Instances	Array	Coding	Link
					Vitamin D aliquot	30892									474382	Accruing	Categorical single		Auxiliary	Unisex	2	1	1529.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30892
					Vitamin D correction level	30893									449978	Accruing	Categorical single		Auxiliary	Unisex	2	1	165.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30893
					Vitamin D correction reason	30894									449978	Accruing	Categorical single		Auxiliary	Unisex	2	1	305.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30894
					Vitamin D missing reason	30895									45591	Accruing	Categorical single		Auxiliary	Unisex	2	1	782.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30895
					Vitamin D reportability	30896									452542	Accruing	Categorical single		Auxiliary	Unisex	2	1	4917.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30896
					Estimated sample dilution factor	30897									468511	Accruing	Continuous	factor	Auxiliary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30897
					Date of death	40000									20284	Accruing	Date		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=40000
					Underlying (primary) cause of death: ICD10	40001									20274	Accruing	Categorical single		Primary	Unisex	2	1	19.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=40001
					Contributory (secondary) causes of death: ICD10	40002									12554	Accruing	Categorical single		Primary	Unisex	2	14	19.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=40002
					Date of cancer diagnosis	40005									89769	Accruing	Date		Primary	Unisex	17	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=40005
					Type of cancer: ICD10	40006									84726	Accruing	Categorical single		Primary	Unisex	17	1	19.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=40006
					Age at death	40007									20349	Accruing	Continuous		Derived	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=40007
					Age at cancer diagnosis	40008									89808	Accruing	Continuous		Derived	Unisex	32	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=40008
					Reported occurrences of cancer	40009									89769	Ongoing	Integer		Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=40009
					Description of cause of death	40010									17027	Accruing	Compound		Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=40010
					Histology of cancer tumour	40011									89180	Accruing	Categorical single		Primary	Unisex	17	1	38.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=40011
					Behaviour of cancer tumour	40012									89272	Accruing	Categorical single		Primary	Unisex	17	1	39.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=40012
					Type of cancer: ICD9	40013									11222	Accruing	Categorical single		Primary	Unisex	15	1	87.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=40013
					Death report format	40018									20284	Ongoing	Categorical single		Primary	Unisex	2	1	261.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=40018
					Cancer report format	40019									89811	Ongoing	Categorical single		Auxiliary	Unisex	17	1	262.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=40019
					Death record origin	40020									20284	Accruing	Categorical single		Primary	Unisex	2	1	1970.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=40020
					Cancer record origin	40021									89811	Updateable	Categorical single		Primary	Unisex	17	1	1970.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=40021
					"Episodes containing ""Number of weeks of gestation"" data"	41066									16625	Accruing	Integer	records	Primary	Female	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41066
					"Episodes containing ""Delivery place"" data"	41067									16621	Accruing	Integer	records	Primary	Female	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41067
					"Episodes containing ""Delivery method"" data"	41068									16625	Accruing	Integer	records	Primary	Female	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41068
					"Episodes containing ""Birth order"" data"	41069									16625	Accruing	Integer	records	Primary	Female	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41069
					"Episodes containing ""Date of birth of baby"" data"	41070									11073	Accruing	Integer	records	Primary	Female	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41070
					"Episodes containing ""Status of baby at birth"" data"	41071									16625	Accruing	Integer	records	Primary	Female	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41071
					"Episodes containing ""Resuscitation method"" data"	41072									16625	Accruing	Integer	records	Primary	Female	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41072
					"Episodes containing ""Sex of baby"" data"	41073									15519	Accruing	Integer	records	Primary	Female	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41073
					"Episodes containing ""Weight of baby"" data"	41074									16604	Accruing	Integer	records	Primary	Female	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41074
					"Episodes containing ""Status of person conducting delivery"" data"	41075									16625	Accruing	Integer	records	Primary	Female	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41075
					"Episodes containing ""Diagnoses - secondary ICD9"" data"	41076									8711	Accruing	Integer	records	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41076
					"Episodes containing ""Diagnoses - secondary ICD10"" data"	41078									346202	Accruing	Integer	records	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41078
					"Episodes containing ""Diagnoses - secondary ICD10 addendum"" data"	41079									4743	Accruing	Integer	records	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41079
					"Episodes containing ""Operative procedures - secondary OPCS4"" data"	41080									367452	Accruing	Integer	records	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41080
					"Episodes containing ""Dates of operations"" data"	41082									354025	Accruing	Integer	records	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41082
					"Episodes containing ""External cause - ICD10"" data"	41104									77463	Accruing	Integer	records	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41104
					"Episodes containing ""External cause - ICD10 addendum"" data"	41105									177	Accruing	Integer	records	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41105
					"Episodes containing ""Operation status"" data"	41106									322505	Accruing	Integer	records	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41106
					"Episodes containing ""Duration of post-operative stay"" data"	41107									351824	Accruing	Integer	records	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41107
					"Episodes containing ""Duration of pre-operative stay"" data"	41108									351838	Accruing	Integer	records	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41108
					"Episodes containing ""Date of first antenatal assessment"" data"	41113									10167	Accruing	Integer	records	Primary	Female	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41113
					"Episodes containing ""Gestation period at first antenatal assessment"" data"	41114									8152	Accruing	Integer	records	Primary	Female	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41114
					"Episodes containing ""Antenatal stay"" data"	41115									11040	Accruing	Integer	records	Primary	Female	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41115
					"Episodes containing ""Intended delivery place"" data"	41116									16625	Accruing	Integer	records	Primary	Female	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41116
					"Episodes containing ""Reason for changing delivery place"" data"	41117									16625	Accruing	Integer	records	Primary	Female	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41117
					"Episodes containing ""Anaesthetic administered during delivery"" data"	41118									16625	Accruing	Integer	records	Primary	Female	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41118
					"Episodes containing ""Anaesthetic administered post delivery"" data"	41119									16625	Accruing	Integer	records	Primary	Female	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41119
					"Episodes containing ""Delivery onset method"" data"	41120									16625	Accruing	Integer	records	Primary	Female	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41120
					"Episodes containing ""Number of babies delivered from single pregnancy"" data"	41121									16625	Accruing	Integer	records	Primary	Female	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41121
					"Episodes containing ""Postnatal stay"" data"	41122									10980	Accruing	Integer	records	Primary	Female	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41122
					"Episodes containing ""Level of neonatal care"" data"	41123									196044	Accruing	Integer	records	Primary	Female	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41123
					"Episodes containing ""Mother age on date of delivery"" data"	41124									11071	Accruing	Integer	records	Primary	Female	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41124
					"Episodes containing ""Number of previous pregnancies"" data"	41125									16623	Accruing	Integer	records	Primary	Female	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41125
					"Episodes containing ""Diagnoses - main ICD10"" data"	41142									410289	Accruing	Integer	records	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41142
					"Episodes containing ""Diagnoses - main ICD10 - addendum"" data"	41143									3297	Accruing	Integer	records	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41143
					"Episodes containing ""Diagnoses - main ICD9"" data"	41144									20301	Accruing	Integer	records	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41144
					"Episodes containing ""Operative procedure - main OPCS4"" data"	41146									410231	Accruing	Integer	records	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41146
					"Episodes containing ""Date of operation"" data"	41148									397491	Accruing	Integer	records	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41148
					Operative procedures - main OPCS4	41200									410231	Ongoing	Categorical multiple		Primary	Unisex	1	49	240.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41200
					Intended management of patient (polymorphic)	41206									382509	Ongoing	Text		Auxiliary	Unisex	1	7		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41206
					Main speciality of consultant (polymorphic)	41207									382505	Ongoing	Text		Auxiliary	Unisex	1	19		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41207
					Treatment speciality of consultant (polymorphic)	41208									413647	Ongoing	Text		Auxiliary	Unisex	1	22		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41208
					Patient classification on admission (polymorphic)	41209									409996	Ongoing	Text		Auxiliary	Unisex	1	7		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41209
					Operative procedures - secondary OPCS4	41210									367452	Ongoing	Categorical multiple		Primary	Unisex	1	86	240.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41210
					Destinations on discharge from hospital (polymorphic)	41211									409995	Ongoing	Text		Auxiliary	Unisex	1	12		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41211
					Methods of admission to hospital (polymorphic)	41212									413649	Ongoing	Text		Auxiliary	Unisex	1	15		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41212
					Methods of discharge from hospital (polymorphic)	41213									413647	Ongoing	Text		Auxiliary	Unisex	1	10		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41213
					Carer support indicators	41214									366399	Ongoing	Categorical multiple		Primary	Unisex	1	3	227.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41214
					Detention categories	41215									42609	Ongoing	Categorical multiple		Primary	Unisex	1	2	230.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41215
					Legal statuses	41216									5	Ongoing	Categorical multiple		Primary	Unisex	1	2	231.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41216
					Mental categories	41217									22	Ongoing	Categorical multiple		Primary	Unisex	1	2	228.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41217
					History of psychiatric care on admission	41218									366398	Ongoing	Categorical multiple		Primary	Unisex	1	5	229.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41218
					Anaesthetics administered during delivery	41219									16628	Ongoing	Categorical multiple		Primary	Unisex	1	4	212.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41219
					Anaesthetics administered post delivery	41220									16628	Ongoing	Categorical multiple		Primary	Unisex	1	4	212.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41220
					Delivery methods	41221									16628	Ongoing	Categorical multiple		Primary	Unisex	1	5	216.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41221
					Delivery onset methods	41222									16628	Ongoing	Categorical multiple		Primary	Unisex	1	5	220.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41222
					Delivery places	41223									16624	Ongoing	Categorical multiple		Primary	Unisex	1	4	217.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41223
					Intended delivery places	41224									16628	Ongoing	Categorical multiple		Primary	Unisex	1	4	217.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41224
					Resuscitation methods	41225									16628	Ongoing	Categorical multiple		Primary	Unisex	1	5	223.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41225
					Sex of baby	41226									15522	Ongoing	Categorical multiple		Primary	Unisex	1	3	224.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41226
					Status of baby at birth	41227									16628	Ongoing	Categorical multiple		Primary	Unisex	1	3	219.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41227
					Statuses of person conducting delivery	41228									16628	Ongoing	Categorical multiple		Primary	Unisex	1	4	225.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41228
					PCT responsible for patient data	41229									320243	Ongoing	Categorical multiple		Primary	Unisex	1	6	239.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41229
					PCT where patients GP was registered	41230									366399	Ongoing	Categorical multiple		Primary	Unisex	1	8	239.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41230
					Hospital episode type	41231									366399	Ongoing	Categorical multiple		Primary	Unisex	1	3	238.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41231
					Administrative and legal statuses	41232									148607	Ongoing	Categorical multiple		Primary	Unisex	1	4	201.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41232
					Sources of admission to hospital (polymorphic)	41233									413649	Ongoing	Text		Auxiliary	Unisex	1	15		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41233
					Spells in hospital	41235									330467	Ongoing	Integer	Spells	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41235
					Intended management of patient (recoded)	41244									382509	Ongoing	Categorical multiple		Primary	Unisex	1	7	271.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41244
					Main speciality of consultant (recoded)	41245									382505	Ongoing	Categorical multiple		Primary	Unisex	1	19	270.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41245
					Treatment speciality of consultant (recoded)	41246									413647	Ongoing	Categorical multiple		Primary	Unisex	1	22	269.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41246
					Patient classification on admission (recoded)	41247									409996	Ongoing	Categorical multiple		Primary	Unisex	1	7	266.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41247
					Destinations on discharge from hospital (recoded)	41248									409995	Ongoing	Categorical multiple		Primary	Unisex	1	10	267.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41248
					Methods of admission to hospital (recoded)	41249									413649	Ongoing	Categorical multiple		Primary	Unisex	1	12	264.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41249
					Methods of discharge from hospital (recoded)	41250									413647	Ongoing	Categorical multiple		Primary	Unisex	1	6	268.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41250
					Sources of admission to hospital (recoded)	41251									413649	Ongoing	Categorical multiple		Primary	Unisex	1	11	265.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41251
					"Episodes containing ""Operative procedure - main OPCS3"" data"	41255									10698	Ongoing	Integer	records	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41255
					Operative procedures - main OPCS3	41256									10698	Ongoing	Categorical multiple		Primary	Unisex	1	13	259.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41256
					Date of first operative procedure - main OPCS3	41257									10698	Ongoing	Date		Primary	Unisex	1	13		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41257
					Operative procedures - secondary OPCS3	41258									2970	Ongoing	Categorical multiple		Primary	Unisex	1	5	259.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41258
					Date of first operative procedure - main OPCS4	41260									410222	Ongoing	Date		Primary	Unisex	1	49		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41260
					Operative procedures - OPCS4	41272									410231	Ongoing	Categorical multiple		Primary	Unisex	1	117	240.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41272
					Operative procedures - OPCS3	41273									10698	Ongoing	Categorical multiple		Primary	Unisex	1	16	259.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41273
					"Episodes containing ""Operative procedures - secondary OPCS3"" data"	41274									2970	Ongoing	Integer	records	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41274
					Date of first operative procedure - OPCS4	41282									410222	Ongoing	Date		Primary	Unisex	1	117		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41282
					Date of first operative procedure - OPCS3	41283									10698	Ongoing	Date		Primary	Unisex	1	16		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41283
