Annotator	Annotation date	Name	GBE ID	Field	BasketID	TableID	FieldID	QT_total_num	BIN_total_num	QT_index	BIN_index	coding_exclude	coding_QT	coding_binary_case	coding_binary_control	Participants	Stability	ValueType	Units	Strata	Sexed	Instances	Array	Coding	Link	Notes
				Mean L3 in uncinate fasciculus on FA skeleton (left)			25341									19395	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25341	
				Mean L3 in tapetum on FA skeleton (right)			25342									19395	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25342	
				Mean L3 in tapetum on FA skeleton (left)			25343									19395	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25343	
Guhan	11/26/18	Mean_ICVF_in_middle_cerebellar_peduncle_on_FA_skeleton	INI25344	Mean ICVF in middle cerebellar peduncle on FA skeleton		9797	25344	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25344	
Guhan	11/26/18	Mean_ICVF_in_pontine_crossing_tract_on_FA_skeleton	INI25345	Mean ICVF in pontine crossing tract on FA skeleton		9797	25345	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25345	
Guhan	11/26/18	Mean_ICVF_in_genu_of_corpus_callosum_on_FA_skeleton	INI25346	Mean ICVF in genu of corpus callosum on FA skeleton		9797	25346	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25346	
Guhan	11/26/18	Mean_ICVF_in_body_of_corpus_callosum_on_FA_skeleton	INI25347	Mean ICVF in body of corpus callosum on FA skeleton		9797	25347	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25347	
Guhan	11/26/18	Mean_ICVF_in_splenium_of_corpus_callosum_on_FA_skeleton	INI25348	Mean ICVF in splenium of corpus callosum on FA skeleton		9797	25348	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25348	
Guhan	11/26/18	Mean_ICVF_in_fornix_on_FA_skeleton	INI25349	Mean ICVF in fornix on FA skeleton		9797	25349	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25349	
Guhan	11/26/18	Mean_ICVF_in_corticospinal_tract_on_FA_skeleton_(right)	INI25350	Mean ICVF in corticospinal tract on FA skeleton (right)		9797	25350	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25350	
Guhan	11/26/18	Mean_ICVF_in_corticospinal_tract_on_FA_skeleton_(left)	INI25351	Mean ICVF in corticospinal tract on FA skeleton (left)		9797	25351	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25351	
Guhan	11/26/18	Mean_ICVF_in_medial_lemniscus_on_FA_skeleton_(right)	INI25352	Mean ICVF in medial lemniscus on FA skeleton (right)		9797	25352	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25352	
Guhan	11/26/18	Mean_ICVF_in_medial_lemniscus_on_FA_skeleton_(left)	INI25353	Mean ICVF in medial lemniscus on FA skeleton (left)		9797	25353	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25353	
Guhan	11/26/18	Mean_ICVF_in_inferior_cerebellar_peduncle_on_FA_skeleton_(right)	INI25354	Mean ICVF in inferior cerebellar peduncle on FA skeleton (right)		9797	25354	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25354	
Guhan	11/26/18	Mean_ICVF_in_inferior_cerebellar_peduncle_on_FA_skeleton_(left)	INI25355	Mean ICVF in inferior cerebellar peduncle on FA skeleton (left)		9797	25355	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25355	
Guhan	11/26/18	Mean_ICVF_in_superior_cerebellar_peduncle_on_FA_skeleton_(right)	INI25356	Mean ICVF in superior cerebellar peduncle on FA skeleton (right)		9797	25356	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25356	
Guhan	11/26/18	Mean_ICVF_in_superior_cerebellar_peduncle_on_FA_skeleton_(left)	INI25357	Mean ICVF in superior cerebellar peduncle on FA skeleton (left)		9797	25357	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25357	
Guhan	11/26/18	Mean_ICVF_in_cerebral_peduncle_on_FA_skeleton_(right)	INI25358	Mean ICVF in cerebral peduncle on FA skeleton (right)		9797	25358	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25358	
Guhan	11/26/18	Mean_ICVF_in_cerebral_peduncle_on_FA_skeleton_(left)	INI25359	Mean ICVF in cerebral peduncle on FA skeleton (left)		9797	25359	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25359	
Guhan	11/26/18	Mean_ICVF_in_anterior_limb_of_internal_capsule_on_FA_skeleton_(right)	INI25360	Mean ICVF in anterior limb of internal capsule on FA skeleton (right)		9797	25360	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25360	
Guhan	11/26/18	Mean_ICVF_in_anterior_limb_of_internal_capsule_on_FA_skeleton_(left)	INI25361	Mean ICVF in anterior limb of internal capsule on FA skeleton (left)		9797	25361	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25361	
Guhan	11/26/18	Mean_ICVF_in_posterior_limb_of_internal_capsule_on_FA_skeleton_(right)	INI25362	Mean ICVF in posterior limb of internal capsule on FA skeleton (right)		9797	25362	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25362	
Guhan	11/26/18	Mean_ICVF_in_posterior_limb_of_internal_capsule_on_FA_skeleton_(left)	INI25363	Mean ICVF in posterior limb of internal capsule on FA skeleton (left)		9797	25363	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25363	
Guhan	11/26/18	Mean_ICVF_in_retrolenticular_part_of_internal_capsule_on_FA_skeleton_(right)	INI25364	Mean ICVF in retrolenticular part of internal capsule on FA skeleton (right)		9797	25364	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25364	
Guhan	11/26/18	Mean_ICVF_in_retrolenticular_part_of_internal_capsule_on_FA_skeleton_(left)	INI25365	Mean ICVF in retrolenticular part of internal capsule on FA skeleton (left)		9797	25365	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25365	
Guhan	11/26/18	Mean_ICVF_in_anterior_corona_radiata_on_FA_skeleton_(right)	INI25366	Mean ICVF in anterior corona radiata on FA skeleton (right)		9797	25366	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25366	
Guhan	11/26/18	Mean_ICVF_in_anterior_corona_radiata_on_FA_skeleton_(left)	INI25367	Mean ICVF in anterior corona radiata on FA skeleton (left)		9797	25367	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25367	
Guhan	11/26/18	Mean_ICVF_in_superior_corona_radiata_on_FA_skeleton_(right)	INI25368	Mean ICVF in superior corona radiata on FA skeleton (right)		9797	25368	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25368	
Guhan	11/26/18	Mean_ICVF_in_superior_corona_radiata_on_FA_skeleton_(left)	INI25369	Mean ICVF in superior corona radiata on FA skeleton (left)		9797	25369	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25369	
Guhan	11/26/18	Mean_ICVF_in_posterior_corona_radiata_on_FA_skeleton_(right)	INI25370	Mean ICVF in posterior corona radiata on FA skeleton (right)		9797	25370	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25370	
Guhan	11/26/18	Mean_ICVF_in_posterior_corona_radiata_on_FA_skeleton_(left)	INI25371	Mean ICVF in posterior corona radiata on FA skeleton (left)		9797	25371	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25371	
Guhan	11/26/18	Mean_ICVF_in_posterior_thalamic_radiation_on_FA_skeleton_(right)	INI25372	Mean ICVF in posterior thalamic radiation on FA skeleton (right)		9797	25372	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25372	
Guhan	11/26/18	Mean_ICVF_in_posterior_thalamic_radiation_on_FA_skeleton_(left)	INI25373	Mean ICVF in posterior thalamic radiation on FA skeleton (left)		9797	25373	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25373	
Guhan	11/26/18	Mean_ICVF_in_sagittal_stratum_on_FA_skeleton_(right)	INI25374	Mean ICVF in sagittal stratum on FA skeleton (right)		9797	25374	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25374	
Guhan	11/26/18	Mean_ICVF_in_sagittal_stratum_on_FA_skeleton_(left)	INI25375	Mean ICVF in sagittal stratum on FA skeleton (left)		9797	25375	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25375	
Guhan	11/26/18	Mean_ICVF_in_external_capsule_on_FA_skeleton_(right)	INI25376	Mean ICVF in external capsule on FA skeleton (right)		9797	25376	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25376	
Guhan	11/26/18	Mean_ICVF_in_external_capsule_on_FA_skeleton_(left)	INI25377	Mean ICVF in external capsule on FA skeleton (left)		9797	25377	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25377	
Guhan	11/26/18	Mean_ICVF_in_cingulum_cingulate_gyrus_on_FA_skeleton_(right)	INI25378	Mean ICVF in cingulum cingulate gyrus on FA skeleton (right)		9797	25378	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25378	
Guhan	11/26/18	Mean_ICVF_in_cingulum_cingulate_gyrus_on_FA_skeleton_(left)	INI25379	Mean ICVF in cingulum cingulate gyrus on FA skeleton (left)		9797	25379	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25379	
Guhan	11/26/18	Mean_ICVF_in_cingulum_hippocampus_on_FA_skeleton_(right)	INI25380	Mean ICVF in cingulum hippocampus on FA skeleton (right)		9797	25380	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25380	
Guhan	11/26/18	Mean_ICVF_in_cingulum_hippocampus_on_FA_skeleton_(left)	INI25381	Mean ICVF in cingulum hippocampus on FA skeleton (left)		9797	25381	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25381	
Guhan	11/26/18	Mean_ICVF_in_fornix_cres+stria_terminalis_on_FA_skeleton_(right)	INI25382	Mean ICVF in fornix cres+stria terminalis on FA skeleton (right)		9797	25382	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25382	
Guhan	11/26/18	Mean_ICVF_in_fornix_cres+stria_terminalis_on_FA_skeleton_(left)	INI25383	Mean ICVF in fornix cres+stria terminalis on FA skeleton (left)		9797	25383	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25383	
Guhan	11/26/18	Mean_ICVF_in_superior_longitudinal_fasciculus_on_FA_skeleton_(right)	INI25384	Mean ICVF in superior longitudinal fasciculus on FA skeleton (right)		9797	25384	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25384	
Guhan	11/26/18	Mean_ICVF_in_superior_longitudinal_fasciculus_on_FA_skeleton_(left)	INI25385	Mean ICVF in superior longitudinal fasciculus on FA skeleton (left)		9797	25385	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25385	
Guhan	11/26/18	Mean_ICVF_in_superior_fronto-occipital_fasciculus_on_FA_skeleton_(right)	INI25386	Mean ICVF in superior fronto-occipital fasciculus on FA skeleton (right)		9797	25386	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25386	
Guhan	11/26/18	Mean_ICVF_in_superior_fronto-occipital_fasciculus_on_FA_skeleton_(left)	INI25387	Mean ICVF in superior fronto-occipital fasciculus on FA skeleton (left)		9797	25387	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25387	
Guhan	11/26/18	Mean_ICVF_in_uncinate_fasciculus_on_FA_skeleton_(right)	INI25388	Mean ICVF in uncinate fasciculus on FA skeleton (right)		9797	25388	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25388	
Guhan	11/26/18	Mean_ICVF_in_uncinate_fasciculus_on_FA_skeleton_(left)	INI25389	Mean ICVF in uncinate fasciculus on FA skeleton (left)		9797	25389	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25389	
Guhan	11/26/18	Mean_ICVF_in_tapetum_on_FA_skeleton_(right)	INI25390	Mean ICVF in tapetum on FA skeleton (right)		9797	25390	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25390	
Guhan	11/26/18	Mean_ICVF_in_tapetum_on_FA_skeleton_(left)	INI25391	Mean ICVF in tapetum on FA skeleton (left)		9797	25391	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25391	
				Mean OD in middle cerebellar peduncle on FA skeleton			25392									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25392	
				Mean OD in pontine crossing tract on FA skeleton			25393									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25393	
				Mean OD in genu of corpus callosum on FA skeleton			25394									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25394	
				Mean OD in body of corpus callosum on FA skeleton			25395									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25395	
				Mean OD in splenium of corpus callosum on FA skeleton			25396									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25396	
				Mean OD in fornix on FA skeleton			25397									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25397	
				Mean OD in corticospinal tract on FA skeleton (right)			25398									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25398	
				Mean OD in corticospinal tract on FA skeleton (left)			25399									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25399	
				Mean OD in medial lemniscus on FA skeleton (right)			25400									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25400	
				Mean OD in medial lemniscus on FA skeleton (left)			25401									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25401	
				Mean OD in inferior cerebellar peduncle on FA skeleton (right)			25402									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25402	
				Mean OD in inferior cerebellar peduncle on FA skeleton (left)			25403									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25403	
				Mean OD in superior cerebellar peduncle on FA skeleton (right)			25404									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25404	
				Mean OD in superior cerebellar peduncle on FA skeleton (left)			25405									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25405	
				Mean OD in cerebral peduncle on FA skeleton (right)			25406									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25406	
				Mean OD in cerebral peduncle on FA skeleton (left)			25407									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25407	
				Mean OD in anterior limb of internal capsule on FA skeleton (right)			25408									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25408	
				Mean OD in anterior limb of internal capsule on FA skeleton (left)			25409									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25409	
				Mean OD in posterior limb of internal capsule on FA skeleton (right)			25410									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25410	
				Mean OD in posterior limb of internal capsule on FA skeleton (left)			25411									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25411	
				Mean OD in retrolenticular part of internal capsule on FA skeleton (right)			25412									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25412	
				Mean OD in retrolenticular part of internal capsule on FA skeleton (left)			25413									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25413	
				Mean OD in anterior corona radiata on FA skeleton (right)			25414									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25414	
				Mean OD in anterior corona radiata on FA skeleton (left)			25415									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25415	
				Mean OD in superior corona radiata on FA skeleton (right)			25416									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25416	
				Mean OD in superior corona radiata on FA skeleton (left)			25417									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25417	
				Mean OD in posterior corona radiata on FA skeleton (right)			25418									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25418	
				Mean OD in posterior corona radiata on FA skeleton (left)			25419									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25419	
				Mean OD in posterior thalamic radiation on FA skeleton (right)			25420									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25420	
				Mean OD in posterior thalamic radiation on FA skeleton (left)			25421									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25421	
				Mean OD in sagittal stratum on FA skeleton (right)			25422									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25422	
				Mean OD in sagittal stratum on FA skeleton (left)			25423									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25423	
				Mean OD in external capsule on FA skeleton (right)			25424									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25424	
				Mean OD in external capsule on FA skeleton (left)			25425									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25425	
				Mean OD in cingulum cingulate gyrus on FA skeleton (right)			25426									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25426	
				Mean OD in cingulum cingulate gyrus on FA skeleton (left)			25427									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25427	
				Mean OD in cingulum hippocampus on FA skeleton (right)			25428									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25428	
				Mean OD in cingulum hippocampus on FA skeleton (left)			25429									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25429	
				Mean OD in fornix cres+stria terminalis on FA skeleton (right)			25430									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25430	
				Mean OD in fornix cres+stria terminalis on FA skeleton (left)			25431									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25431	
				Mean OD in superior longitudinal fasciculus on FA skeleton (right)			25432									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25432	
				Mean OD in superior longitudinal fasciculus on FA skeleton (left)			25433									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25433	
				Mean OD in superior fronto-occipital fasciculus on FA skeleton (right)			25434									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25434	
				Mean OD in superior fronto-occipital fasciculus on FA skeleton (left)			25435									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25435	
				Mean OD in uncinate fasciculus on FA skeleton (right)			25436									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25436	
				Mean OD in uncinate fasciculus on FA skeleton (left)			25437									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25437	
				Mean OD in tapetum on FA skeleton (right)			25438									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25438	
				Mean OD in tapetum on FA skeleton (left)			25439									19393	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25439	
Guhan	11/26/18	Mean_ISOVF_in_middle_cerebellar_peduncle_on_FA_skeleton	INI25440	Mean ISOVF in middle cerebellar peduncle on FA skeleton		9797	25440	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25440	
Guhan	11/26/18	Mean_ISOVF_in_pontine_crossing_tract_on_FA_skeleton	INI25441	Mean ISOVF in pontine crossing tract on FA skeleton		9797	25441	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25441	
Guhan	11/26/18	Mean_ISOVF_in_genu_of_corpus_callosum_on_FA_skeleton	INI25442	Mean ISOVF in genu of corpus callosum on FA skeleton		9797	25442	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25442	
Guhan	11/26/18	Mean_ISOVF_in_body_of_corpus_callosum_on_FA_skeleton	INI25443	Mean ISOVF in body of corpus callosum on FA skeleton		9797	25443	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25443	
Guhan	11/26/18	Mean_ISOVF_in_splenium_of_corpus_callosum_on_FA_skeleton	INI25444	Mean ISOVF in splenium of corpus callosum on FA skeleton		9797	25444	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25444	
Guhan	11/26/18	Mean_ISOVF_in_fornix_on_FA_skeleton	INI25445	Mean ISOVF in fornix on FA skeleton		9797	25445	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25445	
Guhan	11/26/18	Mean_ISOVF_in_corticospinal_tract_on_FA_skeleton_(right)	INI25446	Mean ISOVF in corticospinal tract on FA skeleton (right)		9797	25446	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25446	
Guhan	11/26/18	Mean_ISOVF_in_corticospinal_tract_on_FA_skeleton_(left)	INI25447	Mean ISOVF in corticospinal tract on FA skeleton (left)		9797	25447	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25447	
Guhan	11/26/18	Mean_ISOVF_in_medial_lemniscus_on_FA_skeleton_(right)	INI25448	Mean ISOVF in medial lemniscus on FA skeleton (right)		9797	25448	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25448	
Guhan	11/26/18	Mean_ISOVF_in_medial_lemniscus_on_FA_skeleton_(left)	INI25449	Mean ISOVF in medial lemniscus on FA skeleton (left)		9797	25449	1		1						19394	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25449	
