Annotator	Annotation date	Name	GBE ID	Field	FieldID	QT_total_num	BIN_total_num	QT_index	BIN_index	coding_exclude	coding_QT	coding_binary_case	coding_binary_control	Participants	Stability	ValueType	Units	Strata	Sexed	Instances	Array	Coding	Link
				Volume of middletemporal (right hemisphere)	27310									21915	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27310
				Volume of parahippocampal (right hemisphere)	27311									21915	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27311
				Volume of paracentral (right hemisphere)	27312									21915	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27312
				Volume of parsopercularis (right hemisphere)	27313									21915	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27313
				Volume of parsorbitalis (right hemisphere)	27314									21915	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27314
				Volume of parstriangularis (right hemisphere)	27315									21915	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27315
				Volume of pericalcarine (right hemisphere)	27316									21915	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27316
				Volume of postcentral (right hemisphere)	27317									21915	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27317
				Volume of posteriorcingulate (right hemisphere)	27318									21915	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27318
				Volume of precentral (right hemisphere)	27319									21915	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27319
				Volume of precuneus (right hemisphere)	27320									21915	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27320
				Volume of rostralanteriorcingulate (right hemisphere)	27321									21915	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27321
				Volume of rostralmiddlefrontal (right hemisphere)	27322									21915	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27322
				Volume of superiorfrontal (right hemisphere)	27323									21915	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27323
				Volume of superiorparietal (right hemisphere)	27324									21915	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27324
				Volume of superiortemporal (right hemisphere)	27325									21915	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27325
				Volume of supramarginal (right hemisphere)	27326									21915	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27326
				Volume of transversetemporal (right hemisphere)	27327									21915	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27327
				Volume of insula (right hemisphere)	27328									21915	Accruing	Continuous	mm3	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27328
				Area of G+S-frontomargin (left hemisphere)	27329									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27329
				Area of G+S-occipital-inf (left hemisphere)	27330									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27330
				Area of G+S-paracentral (left hemisphere)	27331									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27331
				Area of G+S-subcentral (left hemisphere)	27332									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27332
				Area of G+S-transv-frontopol (left hemisphere)	27333									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27333
				Area of G+S-cingul-Ant (left hemisphere)	27334									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27334
				Area of G+S-cingul-Mid-Ant (left hemisphere)	27335									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27335
				Area of G+S-cingul-Mid-Post (left hemisphere)	27336									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27336
				Area of G-cingul-Post-dorsal (left hemisphere)	27337									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27337
				Area of G-cingul-Post-ventral (left hemisphere)	27338									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27338
				Area of G-cuneus (left hemisphere)	27339									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27339
				Area of G-front-inf-Opercular (left hemisphere)	27340									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27340
				Area of G-front-inf-Orbital (left hemisphere)	27341									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27341
				Area of G-front-inf-Triangul (left hemisphere)	27342									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27342
				Area of G-front-middle (left hemisphere)	27343									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27343
				Area of G-front-sup (left hemisphere)	27344									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27344
				Area of G-Ins-lg+S-cent-ins (left hemisphere)	27345									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27345
				Area of G-insular-short (left hemisphere)	27346									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27346
				Area of G-occipital-middle (left hemisphere)	27347									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27347
				Area of G-occipital-sup (left hemisphere)	27348									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27348
				Area of G-oc-temp-lat-fusifor (left hemisphere)	27349									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27349
				Area of G-oc-temp-med-Lingual (left hemisphere)	27350									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27350
				Area of G-oc-temp-med-Parahip (left hemisphere)	27351									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27351
				Area of G-orbital (left hemisphere)	27352									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27352
				Area of G-pariet-inf-Angular (left hemisphere)	27353									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27353
				Area of G-pariet-inf-Supramar (left hemisphere)	27354									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27354
				Area of G-parietal-sup (left hemisphere)	27355									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27355
				Area of G-postcentral (left hemisphere)	27356									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27356
				Area of G-precentral (left hemisphere)	27357									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27357
				Area of G-precuneus (left hemisphere)	27358									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27358
				Area of G-rectus (left hemisphere)	27359									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27359
				Area of G-subcallosal (left hemisphere)	27360									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27360
				Area of G-temp-sup-G-T-transv (left hemisphere)	27361									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27361
				Area of G-temp-sup-Lateral (left hemisphere)	27362									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27362
				Area of G-temp-sup-Plan-polar (left hemisphere)	27363									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27363
				Area of G-temp-sup-Plan-tempo (left hemisphere)	27364									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27364
				Area of G-temporal-inf (left hemisphere)	27365									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27365
				Area of G-temporal-middle (left hemisphere)	27366									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27366
				Area of Lat-Fis-ant-Horizont (left hemisphere)	27367									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27367
				Area of Lat-Fis-ant-Vertical (left hemisphere)	27368									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27368
				Area of Lat-Fis-post (left hemisphere)	27369									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27369
				Area of Pole-occipital (left hemisphere)	27370									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27370
				Area of Pole-temporal (left hemisphere)	27371									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27371
				Area of S-calcarine (left hemisphere)	27372									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27372
				Area of S-central (left hemisphere)	27373									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27373
				Area of S-cingul-Marginalis (left hemisphere)	27374									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27374
				Area of S-circular-insula-ant (left hemisphere)	27375									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27375
				Area of S-circular-insula-inf (left hemisphere)	27376									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27376
				Area of S-circular-insula-sup (left hemisphere)	27377									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27377
				Area of S-collat-transv-ant (left hemisphere)	27378									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27378
				Area of S-collat-transv-post (left hemisphere)	27379									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27379
				Area of S-front-inf (left hemisphere)	27380									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27380
				Area of S-front-middle (left hemisphere)	27381									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27381
				Area of S-front-sup (left hemisphere)	27382									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27382
				Area of S-interm-prim-Jensen (left hemisphere)	27383									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27383
				Area of S-intrapariet+P-trans (left hemisphere)	27384									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27384
				Area of S-oc-middle+Lunatus (left hemisphere)	27385									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27385
				Area of S-oc-sup+transversal (left hemisphere)	27386									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27386
				Area of S-occipital-ant (left hemisphere)	27387									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27387
				Area of S-oc-temp-lat (left hemisphere)	27388									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27388
				Area of S-oc-temp-med+Lingual (left hemisphere)	27389									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27389
				Area of S-orbital-lateral (left hemisphere)	27390									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27390
				Area of S-orbital-med-olfact (left hemisphere)	27391									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27391
				Area of S-orbital-H-Shaped (left hemisphere)	27392									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27392
				Area of S-parieto-occipital (left hemisphere)	27393									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27393
				Area of S-pericallosal (left hemisphere)	27394									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27394
				Area of S-postcentral (left hemisphere)	27395									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27395
				Area of S-precentral-inf-part (left hemisphere)	27396									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27396
				Area of S-precentral-sup-part (left hemisphere)	27397									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27397
				Area of S-suborbital (left hemisphere)	27398									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27398
				Area of S-subparietal (left hemisphere)	27399									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27399
				Area of S-temporal-inf (left hemisphere)	27400									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27400
				Area of S-temporal-sup (left hemisphere)	27401									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27401
				Area of S-temporal-transverse (left hemisphere)	27402									21915	Accruing	Continuous	mm2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27402
				Mean thickness of G+S-frontomargin (left hemisphere)	27403									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27403
				Mean thickness of G+S-occipital-inf (left hemisphere)	27404									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27404
				Mean thickness of G+S-paracentral (left hemisphere)	27405									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27405
				Mean thickness of G+S-subcentral (left hemisphere)	27406									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27406
				Mean thickness of G+S-transv-frontopol (left hemisphere)	27407									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27407
				Mean thickness of G+S-cingul-Ant (left hemisphere)	27408									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27408
				Mean thickness of G+S-cingul-Mid-Ant (left hemisphere)	27409									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27409
				Mean thickness of G+S-cingul-Mid-Post (left hemisphere)	27410									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27410
				Mean thickness of G-cingul-Post-dorsal (left hemisphere)	27411									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27411
				Mean thickness of G-cingul-Post-ventral (left hemisphere)	27412									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27412
				Mean thickness of G-cuneus (left hemisphere)	27413									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27413
				Mean thickness of G-front-inf-Opercular (left hemisphere)	27414									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27414
				Mean thickness of G-front-inf-Orbital (left hemisphere)	27415									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27415
				Mean thickness of G-front-inf-Triangul (left hemisphere)	27416									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27416
				Mean thickness of G-front-middle (left hemisphere)	27417									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27417
				Mean thickness of G-front-sup (left hemisphere)	27418									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27418
				Mean thickness of G-Ins-lg+S-cent-ins (left hemisphere)	27419									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27419
				Mean thickness of G-insular-short (left hemisphere)	27420									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27420
				Mean thickness of G-occipital-middle (left hemisphere)	27421									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27421
				Mean thickness of G-occipital-sup (left hemisphere)	27422									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27422
				Mean thickness of G-oc-temp-lat-fusifor (left hemisphere)	27423									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27423
				Mean thickness of G-oc-temp-med-Lingual (left hemisphere)	27424									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27424
				Mean thickness of G-oc-temp-med-Parahip (left hemisphere)	27425									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27425
				Mean thickness of G-orbital (left hemisphere)	27426									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27426
				Mean thickness of G-pariet-inf-Angular (left hemisphere)	27427									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27427
				Mean thickness of G-pariet-inf-Supramar (left hemisphere)	27428									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27428
				Mean thickness of G-parietal-sup (left hemisphere)	27429									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27429
				Mean thickness of G-postcentral (left hemisphere)	27430									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27430
				Mean thickness of G-precentral (left hemisphere)	27431									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27431
				Mean thickness of G-precuneus (left hemisphere)	27432									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27432
				Mean thickness of G-rectus (left hemisphere)	27433									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27433
				Mean thickness of G-subcallosal (left hemisphere)	27434									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27434
				Mean thickness of G-temp-sup-G-T-transv (left hemisphere)	27435									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27435
				Mean thickness of G-temp-sup-Lateral (left hemisphere)	27436									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27436
				Mean thickness of G-temp-sup-Plan-polar (left hemisphere)	27437									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27437
				Mean thickness of G-temp-sup-Plan-tempo (left hemisphere)	27438									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27438
				Mean thickness of G-temporal-inf (left hemisphere)	27439									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27439
				Mean thickness of G-temporal-middle (left hemisphere)	27440									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27440
				Mean thickness of Lat-Fis-ant-Horizont (left hemisphere)	27441									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27441
				Mean thickness of Lat-Fis-ant-Vertical (left hemisphere)	27442									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27442
				Mean thickness of Lat-Fis-post (left hemisphere)	27443									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27443
				Mean thickness of Pole-occipital (left hemisphere)	27444									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27444
				Mean thickness of Pole-temporal (left hemisphere)	27445									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27445
				Mean thickness of S-calcarine (left hemisphere)	27446									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27446
				Mean thickness of S-central (left hemisphere)	27447									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27447
				Mean thickness of S-cingul-Marginalis (left hemisphere)	27448									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27448
				Mean thickness of S-circular-insula-ant (left hemisphere)	27449									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27449
				Mean thickness of S-circular-insula-inf (left hemisphere)	27450									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27450
				Mean thickness of S-circular-insula-sup (left hemisphere)	27451									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27451
				Mean thickness of S-collat-transv-ant (left hemisphere)	27452									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27452
				Mean thickness of S-collat-transv-post (left hemisphere)	27453									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27453
				Mean thickness of S-front-inf (left hemisphere)	27454									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27454
				Mean thickness of S-front-middle (left hemisphere)	27455									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27455
				Mean thickness of S-front-sup (left hemisphere)	27456									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27456
				Mean thickness of S-interm-prim-Jensen (left hemisphere)	27457									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27457
				Mean thickness of S-intrapariet+P-trans (left hemisphere)	27458									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27458
				Mean thickness of S-oc-middle+Lunatus (left hemisphere)	27459									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27459
				Mean thickness of S-oc-sup+transversal (left hemisphere)	27460									21915	Accruing	Continuous	mm	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=27460
