Path,Category,FieldID,Field,Participants,Items,Stability,ValueType,Units,ItemType,Strata,Sexed,Instances,Array,Coding,Notes,Link
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25194,Mean MO in superior fronto-occipital fasciculus on FA skeleton (right),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean MO (diffusion tensor mode) in superior fronto-occipital fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25194
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25195,Mean MO in superior fronto-occipital fasciculus on FA skeleton (left),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean MO (diffusion tensor mode) in superior fronto-occipital fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25195
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25196,Mean MO in uncinate fasciculus on FA skeleton (right),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean MO (diffusion tensor mode) in uncinate fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25196
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25197,Mean MO in uncinate fasciculus on FA skeleton (left),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean MO (diffusion tensor mode) in uncinate fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25197
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25198,Mean MO in tapetum on FA skeleton (right),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean MO (diffusion tensor mode) in tapetum (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25198
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25199,Mean MO in tapetum on FA skeleton (left),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean MO (diffusion tensor mode) in tapetum (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25199
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25200,Mean L1 in middle cerebellar peduncle on FA skeleton,19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in middle cerebellar peduncle on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25200
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25201,Mean L1 in pontine crossing tract on FA skeleton,19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in pontine crossing tract on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25201
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25202,Mean L1 in genu of corpus callosum on FA skeleton,19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in genu of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25202
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25203,Mean L1 in body of corpus callosum on FA skeleton,19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in body of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25203
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25204,Mean L1 in splenium of corpus callosum on FA skeleton,19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in splenium of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25204
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25205,Mean L1 in fornix on FA skeleton,19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in fornix on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25205
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25206,Mean L1 in corticospinal tract on FA skeleton (right),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in corticospinal tract (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25206
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25207,Mean L1 in corticospinal tract on FA skeleton (left),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in corticospinal tract (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25207
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25208,Mean L1 in medial lemniscus on FA skeleton (right),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in medial lemniscus (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25208
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25209,Mean L1 in medial lemniscus on FA skeleton (left),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in medial lemniscus (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25209
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25210,Mean L1 in inferior cerebellar peduncle on FA skeleton (right),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in inferior cerebellar peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25210
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25211,Mean L1 in inferior cerebellar peduncle on FA skeleton (left),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in inferior cerebellar peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25211
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25212,Mean L1 in superior cerebellar peduncle on FA skeleton (right),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in superior cerebellar peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25212
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25213,Mean L1 in superior cerebellar peduncle on FA skeleton (left),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in superior cerebellar peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25213
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25214,Mean L1 in cerebral peduncle on FA skeleton (right),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in cerebral peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25214
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25215,Mean L1 in cerebral peduncle on FA skeleton (left),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in cerebral peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25215
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25216,Mean L1 in anterior limb of internal capsule on FA skeleton (right),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in anterior limb of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25216
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25217,Mean L1 in anterior limb of internal capsule on FA skeleton (left),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in anterior limb of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25217
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25218,Mean L1 in posterior limb of internal capsule on FA skeleton (right),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in posterior limb of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25218
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25219,Mean L1 in posterior limb of internal capsule on FA skeleton (left),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in posterior limb of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25219
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25220,Mean L1 in retrolenticular part of internal capsule on FA skeleton (right),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in retrolenticular part of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25220
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25221,Mean L1 in retrolenticular part of internal capsule on FA skeleton (left),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in retrolenticular part of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25221
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25222,Mean L1 in anterior corona radiata on FA skeleton (right),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in anterior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25222
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25223,Mean L1 in anterior corona radiata on FA skeleton (left),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in anterior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25223
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25224,Mean L1 in superior corona radiata on FA skeleton (right),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in superior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25224
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25225,Mean L1 in superior corona radiata on FA skeleton (left),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in superior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25225
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25226,Mean L1 in posterior corona radiata on FA skeleton (right),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in posterior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25226
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25227,Mean L1 in posterior corona radiata on FA skeleton (left),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in posterior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25227
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25228,Mean L1 in posterior thalamic radiation on FA skeleton (right),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in posterior thalamic radiation (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25228
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25229,Mean L1 in posterior thalamic radiation on FA skeleton (left),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in posterior thalamic radiation (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25229
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25230,Mean L1 in sagittal stratum on FA skeleton (right),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in sagittal stratum (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25230
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25231,Mean L1 in sagittal stratum on FA skeleton (left),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in sagittal stratum (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25231
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25232,Mean L1 in external capsule on FA skeleton (right),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in external capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25232
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25233,Mean L1 in external capsule on FA skeleton (left),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in external capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25233
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25234,Mean L1 in cingulum cingulate gyrus on FA skeleton (right),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in cingulum cingulate gyrus (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25234
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25235,Mean L1 in cingulum cingulate gyrus on FA skeleton (left),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in cingulum cingulate gyrus (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25235
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25236,Mean L1 in cingulum hippocampus on FA skeleton (right),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in cingulum hippocampus (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25236
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25237,Mean L1 in cingulum hippocampus on FA skeleton (left),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in cingulum hippocampus (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25237
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25238,Mean L1 in fornix cres+stria terminalis on FA skeleton (right),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in fornix cres+stria terminalis (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25238
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25239,Mean L1 in fornix cres+stria terminalis on FA skeleton (left),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in fornix cres+stria terminalis (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25239
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25240,Mean L1 in superior longitudinal fasciculus on FA skeleton (right),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in superior longitudinal fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25240
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25241,Mean L1 in superior longitudinal fasciculus on FA skeleton (left),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in superior longitudinal fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25241
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25242,Mean L1 in superior fronto-occipital fasciculus on FA skeleton (right),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in superior fronto-occipital fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25242
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25243,Mean L1 in superior fronto-occipital fasciculus on FA skeleton (left),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in superior fronto-occipital fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25243
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25244,Mean L1 in uncinate fasciculus on FA skeleton (right),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in uncinate fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25244
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25245,Mean L1 in uncinate fasciculus on FA skeleton (left),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in uncinate fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25245
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25246,Mean L1 in tapetum on FA skeleton (right),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in tapetum (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25246
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25247,Mean L1 in tapetum on FA skeleton (left),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L1 in tapetum (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25247
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25248,Mean L2 in middle cerebellar peduncle on FA skeleton,19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L2 in middle cerebellar peduncle on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25248
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25249,Mean L2 in pontine crossing tract on FA skeleton,19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L2 in pontine crossing tract on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25249
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25250,Mean L2 in genu of corpus callosum on FA skeleton,19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L2 in genu of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25250
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25251,Mean L2 in body of corpus callosum on FA skeleton,19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L2 in body of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25251
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25252,Mean L2 in splenium of corpus callosum on FA skeleton,19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L2 in splenium of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25252
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25253,Mean L2 in fornix on FA skeleton,19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L2 in fornix on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25253
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25254,Mean L2 in corticospinal tract on FA skeleton (right),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L2 in corticospinal tract (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25254
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25255,Mean L2 in corticospinal tract on FA skeleton (left),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L2 in corticospinal tract (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25255
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25256,Mean L2 in medial lemniscus on FA skeleton (right),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L2 in medial lemniscus (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25256
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25257,Mean L2 in medial lemniscus on FA skeleton (left),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L2 in medial lemniscus (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25257
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25258,Mean L2 in inferior cerebellar peduncle on FA skeleton (right),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L2 in inferior cerebellar peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25258
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25259,Mean L2 in inferior cerebellar peduncle on FA skeleton (left),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L2 in inferior cerebellar peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25259
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25260,Mean L2 in superior cerebellar peduncle on FA skeleton (right),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L2 in superior cerebellar peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25260
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25261,Mean L2 in superior cerebellar peduncle on FA skeleton (left),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L2 in superior cerebellar peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25261
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25262,Mean L2 in cerebral peduncle on FA skeleton (right),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L2 in cerebral peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25262
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25263,Mean L2 in cerebral peduncle on FA skeleton (left),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L2 in cerebral peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25263
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25264,Mean L2 in anterior limb of internal capsule on FA skeleton (right),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L2 in anterior limb of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25264
UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,134,25265,Mean L2 in anterior limb of internal capsule on FA skeleton (left),19395,19395,Accruing,Continuous,AU,Data,Derived,Unisex,1,1,,Mean L2 in anterior limb of internal capsule (left) on FA (fractional anisotropy) skeleton (from dMRI data),http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25265
