#FieldID	Field	Category	UKBCategoryTreePath
26991	Grey-white contrast in caudalanteriorcingulate (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
26992	Grey-white contrast in caudalmiddlefrontal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
26993	Grey-white contrast in cuneus (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
26994	Grey-white contrast in entorhinal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
26995	Grey-white contrast in fusiform (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
26996	Grey-white contrast in inferiorparietal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
26997	Grey-white contrast in inferiortemporal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
26998	Grey-white contrast in isthmuscingulate (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
26999	Grey-white contrast in lateraloccipital (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27000	Grey-white contrast in lateralorbitofrontal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27001	Grey-white contrast in lingual (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27002	Grey-white contrast in medialorbitofrontal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27003	Grey-white contrast in middletemporal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27004	Grey-white contrast in parahippocampal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27005	Grey-white contrast in paracentral (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27006	Grey-white contrast in parsopercularis (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27007	Grey-white contrast in parsorbitalis (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27008	Grey-white contrast in parstriangularis (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27009	Grey-white contrast in pericalcarine (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27010	Grey-white contrast in postcentral (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27011	Grey-white contrast in posteriorcingulate (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27012	Grey-white contrast in precentral (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27013	Grey-white contrast in precuneus (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27014	Grey-white contrast in rostralanteriorcingulate (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27015	Grey-white contrast in rostralmiddlefrontal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27016	Grey-white contrast in superiorfrontal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27017	Grey-white contrast in superiorparietal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27018	Grey-white contrast in superiortemporal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27019	Grey-white contrast in supramarginal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27020	Grey-white contrast in frontalpole (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27021	Grey-white contrast in temporalpole (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27022	Grey-white contrast in transversetemporal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27023	Grey-white contrast in insula (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27024	Grey-white contrast in unknown (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27025	Grey-white contrast in bankssts (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27026	Grey-white contrast in caudalanteriorcingulate (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27027	Grey-white contrast in caudalmiddlefrontal (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27028	Grey-white contrast in cuneus (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27029	Grey-white contrast in entorhinal (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27030	Grey-white contrast in fusiform (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27031	Grey-white contrast in inferiorparietal (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27032	Grey-white contrast in inferiortemporal (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27033	Grey-white contrast in isthmuscingulate (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27034	Grey-white contrast in lateraloccipital (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27035	Grey-white contrast in lateralorbitofrontal (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27036	Grey-white contrast in lingual (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27037	Grey-white contrast in medialorbitofrontal (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27038	Grey-white contrast in middletemporal (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27039	Grey-white contrast in parahippocampal (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27040	Grey-white contrast in paracentral (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27041	Grey-white contrast in parsopercularis (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27042	Grey-white contrast in parsorbitalis (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27043	Grey-white contrast in parstriangularis (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27044	Grey-white contrast in pericalcarine (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27045	Grey-white contrast in postcentral (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27046	Grey-white contrast in posteriorcingulate (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27047	Grey-white contrast in precentral (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27048	Grey-white contrast in precuneus (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27049	Grey-white contrast in rostralanteriorcingulate (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27050	Grey-white contrast in rostralmiddlefrontal (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27051	Grey-white contrast in superiorfrontal (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27052	Grey-white contrast in superiorparietal (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27053	Grey-white contrast in superiortemporal (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27054	Grey-white contrast in supramarginal (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27055	Grey-white contrast in frontalpole (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27056	Grey-white contrast in temporalpole (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27057	Grey-white contrast in transversetemporal (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27058	Grey-white contrast in insula (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer desikan gw
27059	Area of BA1 (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27060	Area of BA2 (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27061	Area of BA3a (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27062	Area of BA3b (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27063	Area of BA4a (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27064	Area of BA4p (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27065	Area of BA6 (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27066	Area of BA44 (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27067	Area of BA45 (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27068	Area of V1 (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27069	Area of V2 (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27070	Area of MT (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27071	Area of perirhinal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27072	Area of entorhinal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27073	Mean thickness of BA1 (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27074	Mean thickness of BA2 (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27075	Mean thickness of BA3a (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27076	Mean thickness of BA3b (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27077	Mean thickness of BA4a (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27078	Mean thickness of BA4p (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27079	Mean thickness of BA6 (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27080	Mean thickness of BA44 (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27081	Mean thickness of BA45 (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27082	Mean thickness of V1 (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27083	Mean thickness of V2 (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27084	Mean thickness of MT (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27085	Mean thickness of perirhinal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27086	Mean thickness of entorhinal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27087	Volume of BA1 (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27088	Volume of BA2 (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27089	Volume of BA3a (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27090	Volume of BA3b (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27091	Volume of BA4a (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27092	Volume of BA4p (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27093	Volume of BA6 (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27094	Volume of BA44 (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27095	Volume of BA45 (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27096	Volume of V1 (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27097	Volume of V2 (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27098	Volume of MT (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27099	Volume of perirhinal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27100	Volume of entorhinal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27101	Area of BA1 (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27102	Area of BA2 (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27103	Area of BA3a (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27104	Area of BA3b (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27105	Area of BA4a (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27106	Area of BA4p (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27107	Area of BA6 (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27108	Area of BA44 (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27109	Area of BA45 (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27110	Area of V1 (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27111	Area of V2 (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27112	Area of MT (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27113	Area of perirhinal (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27114	Area of entorhinal (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27115	Mean thickness of BA1 (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27116	Mean thickness of BA2 (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27117	Mean thickness of BA3a (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27118	Mean thickness of BA3b (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27119	Mean thickness of BA4a (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27120	Mean thickness of BA4p (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27121	Mean thickness of BA6 (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27122	Mean thickness of BA44 (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27123	Mean thickness of BA45 (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27124	Mean thickness of V1 (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27125	Mean thickness of V2 (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27126	Mean thickness of MT (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27127	Mean thickness of perirhinal (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27128	Mean thickness of entorhinal (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27129	Volume of BA1 (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27130	Volume of BA2 (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27131	Volume of BA3a (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27132	Volume of BA3b (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27133	Volume of BA4a (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27134	Volume of BA4p (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27135	Volume of BA6 (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27136	Volume of BA44 (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27137	Volume of BA45 (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27138	Volume of V1 (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27139	Volume of V2 (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27140	Volume of MT (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27141	Volume of perirhinal (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27142	Volume of entorhinal (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
27143	Area of caudalanteriorcingulate (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27144	Area of caudalmiddlefrontal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27145	Area of cuneus (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27146	Area of entorhinal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27147	Area of fusiform (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27148	Area of inferiorparietal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27149	Area of inferiortemporal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27150	Area of isthmuscingulate (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27151	Area of lateraloccipital (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27152	Area of lateralorbitofrontal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27153	Area of lingual (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27154	Area of medialorbitofrontal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27155	Area of middletemporal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27156	Area of parahippocampal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
